city_name,city_id,month_name,revenue
Visakhapatnam,AP01,1,1261087
Chandigarh,CH01,1,1934293
Surat,GJ01,1,979549
Vadodara,GJ02,1,564904
Mysore,KA01,1,613540
Kochi,KL01,1,2465058
Indore,MP01,1,1199196
Jaipur,RJ01,1,7223310
Coimbatore,TN01,1,611533
Lucknow,UP01,1,1601672
Visakhapatnam,AP01,2,1371747
Chandigarh,CH01,2,2108290
Surat,GJ01,2,1072366
Vadodara,GJ02,2,620684
Mysore,KA01,2,670035
Kochi,KL01,2,2605593
Indore,MP01,2,1315118
Jaipur,RJ01,2,7747202
Coimbatore,TN01,2,571052
Lucknow,UP01,2,1777269
Visakhapatnam,AP01,3,1385781
Chandigarh,CH01,3,1863793
Surat,GJ01,3,1089004
Vadodara,GJ02,3,663698
Mysore,KA01,3,661840
Kochi,KL01,3,3178390
Indore,MP01,3,1266082
Jaipur,RJ01,3,6462092
Coimbatore,TN01,3,611956
Lucknow,UP01,3,1653746
Visakhapatnam,AP01,4,1390682
Chandigarh,CH01,4,1584025
Surat,GJ01,4,1154909
Vadodara,GJ02,4,706250
Mysore,KA01,4,648555
Kochi,KL01,4,3274496
Indore,MP01,4,1335105
Jaipur,RJ01,4,5490146
Coimbatore,TN01,4,612431
Lucknow,UP01,4,1499160
Visakhapatnam,AP01,5,1344587
Chandigarh,CH01,5,1850777
Surat,GJ01,5,1137662
Vadodara,GJ02,5,682366
Mysore,KA01,5,745170
Kochi,KL01,5,3333746
Indore,MP01,5,1380996
Jaipur,RJ01,5,5495976
Coimbatore,TN01,5,588318
Lucknow,UP01,5,1425570
Visakhapatnam,AP01,6,1264398
Chandigarh,CH01,6,1717223
Surat,GJ01,6,998109
Vadodara,GJ02,6,559298
Mysore,KA01,6,715605
Kochi,KL01,6,2140313
Indore,MP01,6,1138731
Jaipur,RJ01,6,4788771
Coimbatore,TN01,6,528702
Lucknow,UP01,6,1506134
