city_id,month_name,mon
AP01,1,January
AP01,2,February
AP01,3,March
AP01,4,April
AP01,5,May
AP01,6,June
CH01,1,January
CH01,2,February
CH01,3,March
CH01,4,April
CH01,5,May
CH01,6,June
GJ01,1,January
GJ01,2,February
GJ01,3,March
GJ01,4,April
GJ01,5,May
GJ01,6,June
GJ02,1,January
GJ02,2,February
GJ02,3,March
GJ02,4,April
GJ02,5,May
GJ02,6,June
KA01,1,January
KA01,2,February
KA01,3,March
KA01,4,April
KA01,5,May
KA01,6,June
KL01,1,January
KL01,2,February
KL01,3,March
KL01,4,April
KL01,5,May
KL01,6,June
MP01,1,January
MP01,2,February
MP01,3,March
MP01,4,April
MP01,5,May
MP01,6,June
RJ01,1,January
RJ01,2,February
RJ01,3,March
RJ01,4,April
RJ01,5,May
RJ01,6,June
TN01,1,January
TN01,2,February
TN01,3,March
TN01,4,April
TN01,5,May
TN01,6,June
UP01,1,January
UP01,2,February
UP01,3,March
UP01,4,April
UP01,5,May
UP01,6,June
