city_id,month_name,total_passengers,repeat_passengers,mon
AP01,1,3163,650,January
AP01,2,3170,790,February
AP01,3,3093,923,March
AP01,4,2837,992,April
AP01,5,2890,951,May
AP01,6,2702,802,June
CH01,1,4640,720,January
CH01,2,4957,853,February
CH01,3,4100,872,March
CH01,4,3285,789,April
CH01,5,3699,969,May
CH01,6,3297,867,June
GJ01,1,3616,1184,January
GJ01,2,3567,1313,February
GJ01,3,3440,1494,March
GJ01,4,3394,1551,April
GJ01,5,3217,1606,May
GJ01,6,3030,1490,June
GJ02,1,2633,544,January
GJ02,2,2756,610,February
GJ02,3,2522,759,March
GJ02,4,2499,862,April
GJ02,5,2256,868,May
GJ02,6,1807,703,June
KA01,1,2129,172,January
KA01,2,2290,183,February
KA01,3,2194,208,March
KA01,4,2072,236,April
KA01,5,2270,349,May
KA01,6,2203,329,June
KL01,1,5660,795,January
KL01,2,5372,1005,February
KL01,3,6213,1348,March
KL01,4,6515,1576,April
KL01,5,6222,1853,May
KL01,6,4060,1049,June
MP01,1,3876,1033,January
MP01,2,3981,1103,February
MP01,3,3833,1091,March
MP01,4,3646,1295,April
MP01,5,3591,1563,May
MP01,6,3152,1131,June
RJ01,1,11845,1422,January
RJ01,2,12450,1661,February
RJ01,3,9257,1840,March
RJ01,4,7856,1736,April
RJ01,5,7174,1842,May
RJ01,6,6956,1181,June
TN01,1,2214,392,January
TN01,2,1993,346,February
TN01,3,1965,427,March
TN01,4,1722,480,April
TN01,5,1543,504,May
TN01,6,1628,402,June
UP01,1,4896,1431,January
UP01,2,5188,1659,February
UP01,3,4781,1622,March
UP01,4,3807,1496,April
UP01,5,3487,1662,May
UP01,6,3698,1727,June
